volatile acidity,citric acid,chlorides,density,pH,sulphates,alcohol,SugarFraction,Sulfur,Acidity,quality
0.59,0.18,0.076,0.9975,3.43,0.59,10.0,2.305764411027569,0.3148148148148148,2.2740524781341107,5
0.39,0.31,0.074,0.9962,3.41,0.54,9.4,2.4091547881951416,0.1956521739130435,2.1407624633431084,6
0.4,0.4,0.079,0.998,3.44,0.64,9.2,2.2044088176352705,0.36538461538461536,2.558139534883721,5
0.69,0.49,0.115,0.9968,3.21,0.71,9.3,1.8057784911717496,0.17857142857142858,2.398753894080997,5
0.52,0.16,0.085,0.9968,3.38,0.62,9.5,1.906099518459069,0.34285714285714286,2.2189349112426036,7
0.735,0.05,0.081,0.9966,3.39,0.57,9.8,2.006823198876179,0.24074074074074073,2.0648967551622417,5
0.725,0.05,0.086,0.9962,3.41,0.39,10.9,4.667737402128087,0.36363636363636365,2.1114369501466275,5
0.52,0.11,0.079,0.9968,3.42,0.58,9.6,1.5048154093097914,0.28205128205128205,2.192982456140351,5
0.705,0.07,0.076,0.9962,3.44,0.58,10.7,1.6061031921300946,0.4,1.9186046511627906,5
0.32,0.57,0.074,0.9969,3.28,0.79,10.7,2.0062192797672784,0.4153846153846154,2.835365853658537,5
0.705,0.05,0.074,0.9962,3.34,0.95,10.5,1.907247540654487,0.42105263157894735,2.3952095808383236,6
0.63,0.08,0.076,0.9967,3.32,0.54,9.5,1.906290759506371,0.5555555555555556,2.319277108433735,6
0.67,0.23,0.088,0.9962,3.32,0.48,9.5,2.108010439670749,0.17708333333333334,2.319277108433735,5
0.69,0.22,0.084,0.9961,3.31,0.48,9.5,1.9074390121473748,0.19148936170212766,2.326283987915408,5
0.675,0.26,0.084,0.9976,3.31,0.53,9.2,2.1050521251002405,0.2558139534883721,2.5075528700906347,4
0.32,0.54,0.094,0.9984,3.28,0.82,9.6,2.5040064102564106,0.3373493975903614,2.9573170731707314,5
0.41,0.64,0.093,0.9986,3.54,0.66,10.5,2.2030843180452635,0.21428571428571427,2.4858757062146895,5
0.785,0.0,0.104,0.9966,3.52,0.55,10.7,2.408187838651415,0.4666666666666667,1.9318181818181817,6
0.75,0.12,0.086,0.9958,3.38,0.52,10.1,2.008435428800964,0.15,1.9822485207100593,5
0.625,0.2,0.08,0.9972,3.16,1.12,9.1,1.5042117930204573,0.226890756302521,2.626582278481013,4
0.45,0.2,0.069,0.9958,3.41,0.56,9.2,1.6067483430407714,0.2,1.8181818181818181,5
0.43,0.7,0.464,0.9974,3.13,1.28,9.4,1.9049528774814517,0.3283582089552239,2.4920127795527156,5
0.5,0.47,0.086,0.997,3.36,0.57,9.1,2.0060180541624875,0.2876712328767123,2.2023809523809526,5
0.67,0.26,0.401,0.9969,3.16,1.14,9.4,1.8055973517905508,0.3137254901960784,2.310126582278481,5
0.3,0.48,0.069,0.9959,3.44,0.78,10.3,1.807410382568531,0.29508196721311475,1.8313953488372092,6
0.55,0.15,0.076,0.9961,3.41,0.59,10.1,2.2086135930127497,0.475,2.0234604105571847,5
0.49,0.28,0.11,0.9972,2.93,1.95,9.9,1.9053349378259126,0.14705882352941177,2.935153583617747,6
0.49,0.26,0.062,0.9966,3.39,0.64,9.6,1.9064820389323698,0.2903225806451613,2.271386430678466,5
0.39,0.44,0.107,0.9978,3.14,1.22,9.5,2.1046301864101022,0.272,2.961783439490446,5
0.62,0.08,0.076,0.9978,3.48,0.53,9.0,1.803968731208659,0.3333333333333333,2.0114942528735633,5
0.52,0.26,0.079,0.9964,3.23,0.54,9.5,1.90686471296668,0.3,2.4458204334365328,5
0.49,0.29,0.11,0.9972,2.93,1.98,9.8,2.0056157240272765,0.14285714285714285,2.935153583617747,5
1.02,0.04,0.045,0.9938,3.75,0.48,10.5,1.4087341517407928,0.4823529411764706,1.3333333333333333,4
0.6,0.17,0.058,0.9932,3.85,0.6,12.9,2.3157470801449858,0.16037735849056603,1.2207792207792207,6
0.775,0.0,0.102,0.9965,3.45,0.56,10.7,3.0105368790767684,0.34782608695652173,1.971014492753623,5
0.5,0.25,0.07,0.9963,3.25,0.63,9.2,2.007427481682224,0.13636363636363635,2.1538461538461537,5
0.9,0.06,0.079,0.9967,3.39,0.56,9.8,2.5082773151399618,0.5,2.2418879056047194,5
0.545,0.18,0.08,0.9972,3.3,0.59,9.0,1.9053349378259126,0.37142857142857144,2.4545454545454546,6
0.61,0.3,0.084,0.9972,3.4,0.61,10.2,2.10589651022864,0.22,2.4411764705882355,6
0.5,0.3,0.075,0.9959,3.31,0.56,10.4,1.9078220704890048,0.36363636363636365,2.3564954682779455,6
0.575,0.22,0.077,0.9967,3.29,0.51,9.2,2.106952944717568,0.18461538461538463,2.4620060790273555,5
0.49,0.24,0.07,0.996,3.33,0.48,9.4,2.2088353413654622,0.1388888888888889,2.1621621621621623,5
0.41,0.68,0.467,0.9973,3.08,1.31,9.3,1.7046024265516895,0.2608695652173913,2.5324675324675323,5
0.63,0.31,0.088,0.9969,3.46,0.79,9.3,1.7052863878021867,0.234375,1.7919075144508672,5
0.33,0.53,0.091,0.9976,3.37,0.8,9.6,2.506014434643143,0.225,2.373887240356083,6
0.785,0.52,0.122,0.9969,3.21,0.69,9.3,2.0062192797672784,0.24183006535947713,2.5233644859813085,5
0.56,0.19,0.104,0.9964,3.19,0.93,9.5,1.8065034122842234,0.2553191489361702,2.445141065830721,5
0.62,0.09,0.084,0.9964,3.15,0.66,9.8,2.207948615014051,0.10185185185185185,2.666666666666667,5
0.6,0.1,0.085,0.9964,3.15,0.66,9.8,2.207948615014051,0.12612612612612611,2.666666666666667,5
0.31,0.44,0.08,0.9988,3.32,0.67,9.7,2.302763315979175,0.4782608695652174,3.0421686746987953,6
0.4,0.31,0.09,0.9966,3.07,0.63,10.5,2.207505518763797,0.20967741935483872,3.0618892508143327,6
0.54,0.28,0.077,0.9978,3.39,0.61,10.0,1.9041892162758067,0.275,2.448377581120944,6
0.56,0.12,0.082,0.997,3.37,0.5,9.4,2.0060180541624875,0.25,2.314540059347181,6
0.55,0.04,0.119,0.9962,3.21,0.6,10.9,2.20839188917888,0.25,2.741433021806854,6
0.69,0.08,0.097,0.9959,3.34,0.54,9.2,1.807410382568531,0.24719101123595505,2.0958083832335332,6
1.07,0.09,0.178,0.9962,3.3,0.57,9.0,1.7064846416382253,0.11235955056179775,2.2121212121212124,5
0.695,0.0,0.075,0.998,3.49,0.52,9.2,2.50501002004008,0.23076923076923078,2.0916905444126073,5
0.71,0.0,0.08,0.9976,3.44,0.53,9.5,2.6062550120288694,0.3235294117647059,2.3255813953488373,5
0.5,0.17,0.082,0.996,3.39,0.48,9.5,1.606425702811245,0.20588235294117646,2.3008849557522124,5
0.62,0.04,0.146,0.9984,3.16,0.7,9.4,1.9030448717948718,0.3,2.848101265822785,5
1.33,0.0,0.081,0.9964,3.53,0.49,10.9,1.7061421116017663,0.25,2.3229461756373935,5
1.33,0.0,0.082,0.9964,3.54,0.48,10.9,1.8065034122842234,0.25,2.2881355932203387,5
0.59,0.16,0.065,0.9962,3.42,0.92,10.5,1.8068660911463563,0.1875,2.3391812865497075,7
0.38,0.15,0.072,0.9955,3.42,0.57,9.4,1.808136614766449,0.3157894736842105,1.783625730994152,5
0.745,0.56,0.118,0.9968,3.24,0.66,9.4,2.0064205457463884,0.22388059701492538,2.4691358024691357,5
0.5,0.09,0.049,0.9937,3.63,0.63,13.0,2.3145818657542514,0.1717171717171717,1.5426997245179064,5
0.5,0.01,0.06,0.9952,3.4,0.58,9.8,1.507234726688103,0.6538461538461539,1.9411764705882353,6
1.04,0.05,0.084,0.9959,3.22,0.55,9.9,2.209057134250427,0.4482758620689655,2.453416149068323,6
0.745,0.11,0.09,0.9965,3.19,0.82,9.6,1.90667335674862,0.25396825396825395,2.633228840125392,5
0.715,0.15,0.089,0.9968,3.23,0.77,9.5,1.8057784911717496,0.19230769230769232,2.5696594427244586,5
0.415,0.36,0.081,0.9972,3.48,0.64,9.2,2.0056157240272765,0.28888888888888886,2.0689655172413794,5
0.56,0.19,0.081,0.9962,3.33,0.54,9.5,2.108010439670749,0.14285714285714285,2.3423423423423424,5
0.56,0.19,0.081,0.9962,3.32,0.54,9.5,2.007628990162618,0.1574074074074074,2.3493975903614457,5
0.34,0.0,0.05,0.9916,3.68,0.79,14.0,1.8152480839048002,0.42857142857142855,1.4130434782608696,6
0.39,0.08,0.066,0.9954,3.34,0.58,9.4,1.707856138235885,0.15,1.8862275449101797,5
0.67,0.55,0.117,0.9968,3.17,0.62,9.4,1.8057784911717496,0.22695035460992907,2.555205047318612,5
0.68,0.02,0.087,0.9944,3.54,0.52,10.0,1.8101367658889784,0.22340425531914893,1.6384180790960452,5
0.49,0.26,0.236,0.9968,3.11,0.8,9.3,1.6051364365971108,0.11363636363636363,2.4437299035369775,5
0.49,0.1,0.074,0.9959,3.42,0.58,10.2,2.3094688221709005,0.4,2.017543859649123,6
0.4,0.44,0.089,0.9975,3.53,0.61,10.5,2.807017543859649,0.2558139534883721,2.3229461756373935,6
0.33,0.47,0.077,0.9958,3.33,0.53,10.3,2.108857200241012,0.45454545454545453,2.1921921921921923,6
0.52,1.0,0.61,0.9996,2.74,2.0,9.4,3.401360544217687,0.463768115942029,3.357664233576642,4
0.6,0.03,0.095,0.995,3.35,0.54,10.1,1.8090452261306533,0.25252525252525254,2.2388059701492535,5
0.43,0.42,0.07,0.9973,3.42,0.72,10.5,5.514890203549584,0.2248062015503876,2.0760233918128654,5
0.43,0.42,0.071,0.9973,3.42,0.71,10.5,5.514890203549584,0.21875,2.0760233918128654,5
0.68,0.0,0.073,0.9969,3.48,0.5,9.3,2.2068412077440067,0.5454545454545454,2.0402298850574714,5
0.6,0.18,0.079,0.9968,3.59,0.57,9.3,1.906099518459069,0.20930232558139536,1.894150417827298,6
0.95,0.03,0.09,0.9959,3.2,0.56,9.6,2.008233758409479,0.35,2.3749999999999996,5
0.68,0.02,0.072,0.9965,3.17,1.08,9.2,1.3045659809332664,0.45,2.397476340694006,4
0.53,0.04,0.076,0.9964,3.33,0.56,10.0,1.7061421116017663,0.5483870967741935,2.3423423423423424,6
0.6,0.26,0.07,0.9982,3.37,0.49,9.4,7.31316369465037,0.2975206611570248,2.1958456973293767,5
0.59,0.26,0.07,0.9981,3.37,0.49,9.4,7.21370604147881,0.2892561983471074,2.166172106824926,5
0.63,0.48,0.1,0.9961,3.19,0.62,9.5,1.7066559582371248,0.14583333333333334,2.445141065830721,5
0.64,0.1,0.085,0.9956,3.34,0.52,10.2,2.1092808356769788,0.1782178217821782,2.035928143712575,5
0.55,0.03,0.072,0.9956,3.37,0.48,9.0,1.6070711128967456,0.40476190476190477,2.166172106824926,4
0.63,0.07,0.089,0.9953,3.47,0.55,10.4,2.109916608057872,0.25,1.9596541786743513,6
0.705,0.24,0.36,0.9964,3.0,1.59,9.5,1.8065034122842234,0.23809523809523808,2.5,5
0.885,0.03,0.058,0.9972,3.36,0.33,9.1,1.8050541516245489,0.5,2.3511904761904763,4
0.42,0.17,0.073,0.9972,3.29,0.61,9.2,2.0056157240272765,0.3333333333333333,2.43161094224924,6
0.62,0.05,0.068,0.9961,3.42,0.57,11.5,1.9074390121473748,0.5714285714285714,2.1637426900584797,6
0.38,0.21,0.08,0.9961,3.33,0.47,9.5,2.0078305391024998,0.2,2.1921921921921923,5
0.5,0.04,0.085,0.9958,3.35,0.78,9.5,1.506326571600723,0.3877551020408163,2.0597014925373136,5
0.52,0.42,0.087,0.9972,3.58,0.61,10.5,2.3064580826313676,0.21052631578947367,2.094972067039106,6
0.805,0.0,0.068,0.9969,3.48,0.56,9.6,2.5077740997090983,0.35,2.0114942528735633,5
0.61,0.14,0.067,0.9969,3.19,0.59,9.5,2.407463135720734,0.23809523809523808,2.7586206896551726,5
0.61,0.49,0.27,0.9972,3.12,1.02,9.3,2.0056157240272765,0.20909090909090908,2.8525641025641026,5
0.73,0.02,0.076,0.9972,3.44,0.52,9.3,2.5070196550340955,0.38095238095238093,2.0930232558139537,5
0.61,0.2,0.077,0.9971,3.54,0.58,9.3,1.805235182027881,0.16923076923076924,1.9209039548022597,5
0.62,0.21,0.079,0.997,3.52,0.58,9.3,1.905717151454363,0.12903225806451613,1.903409090909091,6
0.31,0.57,0.111,0.9971,3.26,0.53,9.7,2.0058168689198674,0.3058823529411765,2.7300613496932518,5
0.39,0.48,0.082,0.9972,3.34,0.55,9.2,2.0056157240272765,0.208955223880597,2.2155688622754495,5
0.705,0.1,0.084,0.9976,3.39,0.49,9.7,2.6062550120288694,0.34615384615384615,2.271386430678466,5
0.5,0.33,0.084,0.9968,3.2,0.55,9.5,2.0064205457463884,0.1048951048951049,2.46875,5
0.49,0.32,0.082,0.9968,3.2,0.55,9.5,1.906099518459069,0.11805555555555555,2.46875,5
0.5,0.35,0.077,0.9976,3.23,0.62,9.4,2.9069767441860463,0.16535433070866143,2.538699690402477,5
0.37,0.25,0.074,0.9974,3.57,0.62,9.8,1.9049528774814517,0.42857142857142855,1.792717086834734,6
0.63,0.12,0.099,0.9969,3.28,0.61,9.5,3.811816631557829,0.12698412698412698,2.073170731707317,5
0.55,0.21,0.071,0.9964,3.28,0.55,9.7,2.207948615014051,0.25,2.317073170731707,5
0.59,0.33,0.074,0.9968,3.25,0.54,9.4,2.0064205457463884,0.2,2.4,5
0.58,0.3,0.074,0.9968,3.46,0.59,10.2,2.407704654895666,0.2727272727272727,2.1098265895953756,5
0.3,0.6,0.067,0.9981,3.11,0.97,10.1,2.003807233744114,0.4444444444444444,3.6977491961414795,6
0.835,0.08,0.046,0.9924,3.57,0.85,13.0,1.2091898428053205,0.13978494623655913,1.512605042016807,7
1.09,0.06,0.061,0.9948,3.51,0.43,11.4,2.1109770808202653,0.3870967741935484,1.965811965811966,4
0.32,0.47,0.056,0.99695,3.22,0.82,10.3,1.4042830633431966,0.375,2.981366459627329,7
0.37,0.48,0.097,0.9975,3.04,1.03,9.3,2.1052631578947367,0.2689655172413793,2.8947368421052633,5
0.5,0.11,0.075,0.99545,3.36,0.79,9.5,1.5068561956903914,0.32653061224489793,2.0238095238095237,5
0.42,0.35,0.088,0.9961,3.34,0.55,9.2,1.6062644312819998,0.41025641025641024,2.0958083832335332,5
0.43,0.36,0.089,0.99615,3.34,0.56,9.2,1.6061838076594892,0.3783783783783784,2.0958083832335332,6
0.3,0.74,0.095,0.9994,3.2,0.77,10.8,2.6015609365619374,0.32142857142857145,4.0,7
0.57,0.31,0.069,0.99625,3.29,0.53,9.3,1.806775407779172,0.21666666666666667,2.370820668693009,5
0.44,0.28,0.1,0.9966,3.22,0.67,9.4,2.7092113184828417,0.18947368421052632,2.422360248447205,5
0.3,0.58,0.054,0.998,3.31,0.88,10.5,2.1042084168336674,0.3684210526315789,3.323262839879154,7
0.53,0.6,0.039,0.99585,3.3,0.86,12.4,2.0083345885424513,0.2631578947368421,2.9393939393939394,6
0.725,0.24,0.083,0.99685,3.35,0.56,10.0,2.808847870792998,0.16129032258064516,2.388059701492537,6
0.44,0.64,0.059,0.998,3.21,0.67,10.2,2.1042084168336674,0.3333333333333333,3.6137071651090342,6
0.57,0.26,0.06,0.9959,3.3,0.43,10.1,2.209057134250427,0.4307692307692308,2.484848484848485,5
0.735,0.08,0.092,0.9974,3.24,0.71,9.8,2.40625626629236,0.24390243902439024,2.407407407407407,6
0.49,0.49,0.06,0.9974,3.34,0.76,10.5,5.614597954682173,0.21487603305785125,2.0958083832335332,5
0.625,0.16,0.101,0.9962,3.14,0.57,11.0,2.007628990162618,0.2653061224489796,2.7707006369426748,5
0.725,0.22,0.072,0.9967,3.36,0.55,9.1,2.2072840373231664,0.2682926829268293,2.4107142857142856,5
0.49,0.19,0.076,0.9957,3.39,0.54,9.7,1.9082052827156772,0.22727272727272727,2.2123893805309733,5
0.53,0.33,0.08,0.99655,3.3,0.6,9.5,2.408308664893884,0.16666666666666666,2.3636363636363638,5
0.34,0.37,0.082,0.9964,3.34,0.59,9.4,2.007226013649137,0.41379310344827586,2.3353293413173652,6
0.53,0.26,0.101,0.9957,3.15,0.57,9.4,2.008637139700713,0.2222222222222222,2.3492063492063493,5
0.61,0.04,0.057,0.99525,3.42,0.6,9.5,1.5071590052750565,0.5,1.9883040935672514,5
0.645,0.25,0.083,0.99815,3.28,0.6,10.0,2.0037068576867205,0.2857142857142857,2.6219512195121952,6
0.635,0.36,0.089,0.99745,3.31,0.57,10.4,2.0051130382475315,0.2727272727272727,2.5377643504531724,4
0.43,0.25,0.073,0.99615,3.37,0.58,10.5,2.6100486874466697,0.4603174603174603,2.28486646884273,6
0.59,0.5,0.337,0.9964,3.04,1.61,9.5,2.007226013649137,0.3333333333333333,2.9276315789473686,6
0.82,0.14,0.089,0.9984,3.39,0.63,9.8,2.604166666666667,0.391304347826087,2.654867256637168,5
0.52,0.25,0.081,0.99685,3.46,0.5,11.0,2.6082158800220694,0.2702702702702703,1.994219653179191,5
0.48,0.04,0.054,0.9927,3.54,0.62,12.2,1.6117658910043318,0.1792452830188679,1.4689265536723164,7
0.38,0.06,0.078,0.99625,3.37,0.52,9.9,1.806775407779172,0.24489795918367346,2.373887240356083,6
0.37,0.2,0.09,0.998,3.34,0.7,9.6,2.8056112224448895,0.3103448275862069,2.5449101796407185,6
1.0,0.09,0.065,0.99685,3.32,0.55,9.0,2.3072678938656765,0.1891891891891892,2.4698795180722892,6
0.63,0.0,0.097,0.99675,3.37,0.58,9.0,1.9061951341861048,0.3684210526315789,2.136498516320475,6
0.645,0.0,0.097,0.99675,3.37,0.58,9.2,1.9061951341861048,0.38461538461538464,2.136498516320475,6
0.635,0.37,0.263,0.9971,3.0,1.09,9.3,1.7049443385818874,0.08064516129032258,2.966666666666667,5
0.38,0.56,0.093,0.99925,3.14,0.71,10.9,2.101576182136603,0.25,3.821656050955414,6
0.58,0.1,0.102,0.99565,3.08,0.49,9.8,1.8078642093105006,0.25688073394495414,2.5,6
0.21,0.44,0.075,1.00005,3.07,0.84,9.2,2.199890005499725,0.4166666666666667,4.88599348534202,7
0.66,0.0,0.084,0.9983,3.61,0.96,9.9,2.003405789842733,0.2608695652173913,2.022160664819945,6
0.68,0.07,0.075,0.99685,3.38,0.52,9.5,1.90600391232382,0.3137254901960784,2.100591715976331,5
0.6,0.17,0.072,0.9963,3.2,0.45,9.3,2.308541603934558,0.1506849315068493,2.5624999999999996,5
0.53,0.06,0.074,0.99615,3.35,0.48,9.8,1.7065702956382072,0.23076923076923078,2.298507462686567,6
0.32,0.44,0.063,0.9985,3.22,0.78,10.0,1.602403605408112,0.43243243243243246,3.3540372670807455,6
0.6,0.0,0.074,0.9972,3.47,0.7,9.9,1.8050541516245489,0.47058823529411764,2.0461095100864553,6
0.35,0.48,0.09,0.9986,3.17,0.53,10.5,3.1043460845183257,0.23809523809523808,3.501577287066246,5
0.775,0.42,0.092,0.9959,3.23,0.59,9.5,1.9078220704890048,0.09302325581395349,2.3839009287925697,5
0.57,0.23,0.073,0.99675,3.26,0.57,9.3,3.2104339102081765,0.14285714285714285,2.4539877300613497,5
0.34,0.37,0.075,0.998,3.22,0.62,9.2,2.2044088176352705,0.38461538461538464,2.919254658385093,5
0.695,0.0,0.075,0.9968,3.49,0.67,9.2,2.106741573033708,0.21428571428571427,1.8911174785100284,5
0.41,0.76,0.611,0.9968,3.06,1.26,9.4,1.8057784911717496,0.17777777777777778,2.5163398692810457,5
0.31,0.47,0.085,0.99965,3.36,0.8,10.5,2.600910318611514,0.42424242424242425,2.9761904761904763,7
0.33,0.23,0.077,0.99625,3.29,0.65,9.3,1.7063989962358845,0.4,2.4012158054711246,5
0.975,0.04,0.087,0.99565,3.35,0.6,9.4,2.0087380103450005,0.1791044776119403,2.08955223880597,4
0.52,0.03,0.07,0.99575,3.34,0.57,10.0,1.7072558373085613,0.2857142857142857,2.3952095808383236,5
0.37,0.23,0.077,0.9963,3.28,0.67,9.3,1.806684733514002,0.46938775510204084,2.408536585365854,5
0.56,0.49,0.064,0.9999,3.08,0.87,10.9,2.4002400240024,0.18518518518518517,4.058441558441558,5
0.26,0.52,0.071,0.9968,3.2,0.72,10.2,1.8057784911717496,0.6,3.6875,7
0.87,0.0,0.096,1.00025,3.6,0.72,9.8,3.29917520619845,0.4262295081967213,2.25,4
0.35,0.46,0.078,0.9973,3.35,0.86,12.8,3.609746315050637,0.40540540540540543,2.3582089552238807,8
0.54,0.04,0.077,0.9987,3.69,0.91,9.4,3.003905076599579,0.25925925925925924,1.869918699186992,6
0.18,0.51,0.104,0.9996,3.28,0.97,10.1,4.001600640256102,0.17391304347826086,3.50609756097561,6
0.545,0.06,0.087,0.9965,3.36,0.67,10.7,4.014049172102358,0.4426229508196721,2.3511904761904763,6
0.37,0.58,0.071,0.99935,3.22,0.78,10.1,4.002601691099215,0.26153846153846155,3.3850931677018634,5
0.715,0.2,0.076,0.99735,3.31,0.64,9.4,2.4063768987817715,0.2631578947368421,2.5377643504531724,5
0.65,0.18,0.088,0.99915,3.38,0.77,9.4,7.005955061802532,0.2872340425531915,2.2189349112426036,5
0.32,0.45,0.073,0.9976,3.23,0.82,12.6,6.415396952686447,0.38461538461538464,3.188854489164087,8
0.4,0.32,0.087,0.9991,3.38,0.77,10.5,5.6050445400860776,0.2127659574468085,2.6331360946745566,7
0.26,0.44,0.071,0.9986,3.12,0.82,9.3,3.605047065892249,0.3157894736842105,3.6538461538461537,6
0.27,0.68,0.358,0.9972,3.25,1.08,9.9,3.5098275170477335,0.5,2.3692307692307693,7
0.52,0.12,0.067,0.9971,3.36,0.57,9.1,3.0087253033798014,0.22641509433962265,2.261904761904762,5
